City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Najran,SA,17.4924,44.1277,63.52,31,6,5.3,clear sky
1,Caravelas,BR,-17.7125,-39.2481,85.91,68,97,11.59,overcast clouds
2,Upernavik,GL,72.7868,-56.1549,8.24,93,100,3.74,overcast clouds
3,Togur,RU,58.3631,82.8265,30.36,95,100,15.99,light snow
4,Hithadhoo,MV,-0.6,73.0833,82.11,74,25,5.39,scattered clouds
5,Saint-Joseph,RE,-21.3667,55.6167,77.36,84,28,8.48,scattered clouds
6,Ushuaia,AR,-54.8,-68.3,51.46,43,75,35.68,broken clouds
7,Meulaboh,ID,4.1363,96.1285,78.24,84,99,3.42,overcast clouds
8,Coihaique,CL,-45.5752,-72.0662,70.41,49,40,11.5,scattered clouds
9,Khatanga,RU,71.9667,102.5,-4.85,80,100,13.98,overcast clouds
10,Rikitea,PF,-23.1203,-134.9692,78.12,81,100,20.78,overcast clouds
11,Vaini,TO,-21.2,-175.2,73.56,100,100,0.0,light intensity shower rain
12,Waverly,US,42.7392,-84.6208,23.95,64,0,20.71,clear sky
13,Codrington,AU,-38.2667,141.9667,57.15,73,95,7.16,overcast clouds
14,Butaritari,KI,3.0707,172.7902,76.57,94,100,16.98,very heavy rain
15,Sibolga,ID,1.7427,98.7792,76.21,91,100,3.69,overcast clouds
16,Busselton,AU,-33.65,115.3333,61.05,67,32,16.62,scattered clouds
17,Bilma,NE,18.6853,12.9164,66.83,17,0,11.92,clear sky
18,Mataura,NZ,-46.1927,168.8643,62.47,63,94,5.91,overcast clouds
19,Tura,IN,25.5198,90.2201,61.05,54,0,2.48,clear sky
20,Dingle,PH,10.9995,122.6711,73.33,93,5,6.51,clear sky
21,Kalmunai,LK,7.4167,81.8167,77.68,84,87,7.07,overcast clouds
22,Broome,US,42.2506,-75.833,25.63,66,0,1.99,clear sky
23,Nuuk,GL,64.1835,-51.7216,12.88,93,100,6.69,light snow
24,Avarua,CK,-21.2078,-159.775,73.45,100,53,2.3,broken clouds
25,Hermanus,ZA,-34.4187,19.2345,77.81,64,0,15.32,clear sky
26,Bluff,NZ,-46.6,168.3333,62.8,80,100,8.79,overcast clouds
27,Hilo,US,19.7297,-155.09,65.8,77,40,6.91,scattered clouds
28,Qaanaaq,GL,77.484,-69.3632,-6.74,87,98,4.5,overcast clouds
29,Srandakan,ID,-7.9386,110.2506,79.52,82,100,3.53,light rain
30,Clovis,US,36.8252,-119.7029,50.92,97,100,1.99,fog
31,Manggar,ID,-2.8833,108.2667,79.48,84,50,6.11,scattered clouds
32,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,32.59,60,75,15.66,light snow
33,Zhumadian,CN,32.9794,114.0294,40.55,77,93,2.75,overcast clouds
34,Kapaa,US,22.0752,-159.319,69.78,82,100,1.01,overcast clouds
35,Iskele,TR,39.484,26.9278,55.42,87,75,4.61,light intensity shower rain
36,Barrow,US,71.2906,-156.7887,-18.38,76,0,6.91,clear sky
37,Chuy,UY,-33.6971,-53.4616,78.46,46,25,16.75,scattered clouds
38,Ahuimanu,US,21.4447,-157.8378,65.79,89,20,3.44,few clouds
39,Georgetown,MY,5.4112,100.3354,82.89,84,20,1.01,few clouds
